StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
-1.084918e+06	4.454820e+06	-5.706435e+06	1.666975e+05	-2.223054e+06	2.473437e+05	-2.467928e+06	-2.469919e+03	
-1.058699e+06	4.206654e+06	-5.439616e+06	1.742634e+05	-2.269845e+06	2.552500e+05	-2.522513e+06	-2.582022e+03	
-1.018906e+06	3.934539e+06	-5.134546e+06	1.811013e+05	-2.309717e+06	2.627964e+05	-2.569831e+06	-2.683338e+03	
-9.575936e+05	3.646687e+06	-4.791067e+06	1.867863e+05	-2.340539e+06	2.702126e+05	-2.607984e+06	-2.767570e+03	
-8.779143e+05	3.340279e+06	-4.408987e+06	1.907935e+05	-2.360171e+06	2.777769e+05	-2.635121e+06	-2.826944e+03	
-7.869303e+05	3.014390e+06	-3.993966e+06	1.926461e+05	-2.367351e+06	2.858987e+05	-2.650395e+06	-2.854394e+03	
-6.948093e+05	2.660283e+06	-3.547342e+06	1.922496e+05	-2.360486e+06	2.945127e+05	-2.652150e+06	-2.848519e+03	
-6.103679e+05	2.261440e+06	-3.061817e+06	1.900093e+05	-2.338854e+06	3.031884e+05	-2.639227e+06	-2.815326e+03	
-5.423754e+05	1.800239e+06	-2.529021e+06	1.864063e+05	-2.302294e+06	3.115314e+05	-2.611064e+06	-2.761940e+03	
-5.004008e+05	1.266460e+06	-1.948478e+06	1.816174e+05	-2.250829e+06	3.191466e+05	-2.567285e+06	-2.690984e+03	
-4.930370e+05	6.680923e+05	-1.336500e+06	1.753711e+05	-2.185569e+06	3.257510e+05	-2.508721e+06	-2.598435e+03	
-5.271172e+05	2.062539e+04	-7.152416e+05	1.674990e+05	-2.106606e+06	3.305916e+05	-2.434716e+06	-2.481795e+03	
5.330215e+04	0.000000e+00	-1.049625e+05	1.582647e+05	-2.012868e+06	3.333011e+05	-2.343825e+06	-2.344972e+03	
6.324867e+05	0.000000e+00	4.840632e+05	1.484235e+05	-1.903337e+06	3.316326e+05	-2.232770e+06	-2.199158e+03	
1.178142e+06	0.000000e+00	1.039420e+06	1.387214e+05	-1.775674e+06	3.249181e+05	-2.098537e+06	-2.055404e+03	
1.661425e+06	0.000000e+00	1.531815e+06	1.296095e+05	-1.622588e+06	3.224640e+05	-1.943132e+06	-1.920395e+03	
2.051862e+06	0.000000e+00	1.930740e+06	1.211216e+05	-1.468303e+06	3.071549e+05	-1.773664e+06	-1.794631e+03	
2.338173e+06	0.000000e+00	2.224988e+06	1.131854e+05	-1.313976e+06	2.878915e+05	-1.600191e+06	-1.677043e+03	
2.527585e+06	0.000000e+00	2.421827e+06	1.057576e+05	-1.165880e+06	2.660627e+05	-1.430376e+06	-1.566987e+03	
2.634476e+06	0.000000e+00	2.535637e+06	9.883929e+04	-1.028485e+06	2.428002e+05	-1.269820e+06	-1.464480e+03	
2.673921e+06	0.000000e+00	2.581490e+06	9.243081e+04	-9.050238e+05	2.193123e+05	-1.122967e+06	-1.369527e+03	
2.662526e+06	0.000000e+00	2.575826e+06	8.669937e+04	-7.948849e+05	1.962145e+05	-9.898148e+05	-1.284605e+03	
2.614872e+06	0.000000e+00	2.533008e+06	8.186463e+04	-6.965067e+05	1.740291e+05	-8.693228e+05	-1.212970e+03	
2.540549e+06	0.000000e+00	2.462500e+06	7.804862e+04	-6.080463e+05	1.529355e+05	-7.598254e+05	-1.156429e+03	
2.444320e+06	0.000000e+00	2.369243e+06	7.507677e+04	-5.305833e+05	1.336267e+05	-6.630976e+05	-1.112396e+03	
2.329707e+06	0.000000e+00	2.257108e+06	7.259843e+04	-4.661745e+05	1.169482e+05	-5.820470e+05	-1.075675e+03	
2.200573e+06	0.000000e+00	2.130273e+06	7.029947e+04	-4.150692e+05	1.031852e+05	-5.172128e+05	-1.041611e+03	
2.067737e+06	0.000000e+00	1.999700e+06	6.803701e+04	-3.737708e+05	9.184354e+04	-4.646063e+05	-1.008089e+03	
1.943012e+06	0.000000e+00	1.877283e+06	6.572859e+04	-3.360976e+05	8.164131e+04	-4.167651e+05	-9.738858e+02	
1.837110e+06	0.000000e+00	1.773821e+06	6.328839e+04	-2.979754e+05	7.179234e+04	-3.688300e+05	-9.377299e+02	
1.747888e+06	0.000000e+00	1.687253e+06	6.063500e+04	-2.622358e+05	6.300825e+04	-3.243456e+05	-8.984151e+02	
