pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
213.062123,305.771864,167.140500,304.036982,181.604685,324.800933,166.481663,301.625354,189.657242,304.401633,180.604685,346.182326,151.264688,342.794186
213.062123,305.271864,167.822826,304.719307,185.745614,324.665584,168.163989,301.990005,189.657242,304.401633,185.198638,346.182326,155.540967,343.135349
213.062123,305.271864,170.210965,306.107446,189.998405,324.189072,170.210965,303.378144,189.998405,304.401633,188.316079,346.023488,159.246781,343.135349
213.062123,304.771864,171.916779,309.177911,193.227707,324.347909,172.599104,307.130935,189.998405,304.401633,191.751195,346.023488,162.658408,343.294186
213.062123,304.771864,175.328406,311.566050,196.274683,324.030235,175.328406,310.542562,190.339567,304.401633,194.662823,346.023488,166.728873,343.294186
213.062123,304.271864,178.375383,313.430701,199.503985,324.030235,177.716546,312.930701,191.363056,304.583958,198.074450,345.682326,169.481663,342.794186
213.062123,304.271864,180.898871,314.954190,202.233287,324.530235,179.581197,313.977678,191.863056,304.583958,201.144915,345.682326,172.575616,343.294186
213.062123,303.771864,183.151661,316.342329,204.327240,325.030235,181.992824,315.524654,192.045381,304.583958,203.715380,346.000000,175.146081,343.294186
213.562123,303.271864,186.427940,316.706980,207.056542,324.871398,185.563289,316.048143,192.045381,304.425121,206.556542,346.000000,177.351895,343.294186
213.562123,303.271864,190.498405,317.889305,209.944682,324.371398,188.951428,317.048143,192.386544,304.925121,209.603519,345.500000,181.104685,343.294186
213.562123,302.771864,193.727707,318.912794,212.173984,324.530235,191.863056,317.889305,194.092358,305.607446,212.309333,345.500000,184.516312,343.476512
213.562123,302.771864,198.162823,319.595119,215.720960,324.189072,195.457009,319.071631,197.162823,306.289772,215.562123,345.158837,188.633754,343.635349
213.562123,302.271864,202.233287,319.777445,217.609099,324.189072,199.550962,319.071631,200.574450,305.948609,218.291425,345.135349,192.204218,343.476512
213.562123,302.271864,206.303752,320.095119,221.338401,323.689072,203.303752,319.071631,203.121427,305.948609,221.726541,344.635349,195.457009,343.135349
214.062123,301.271864,210.762356,319.595119,226.320494,323.665584,207.738868,318.389305,205.668403,306.107446,225.320494,344.635349,200.209799,342.817674
213.562123,300.771864,217.426774,319.095119,230.596772,322.824421,213.491658,316.865817,209.374217,305.766284,229.961423,344.794186,204.668403,342.794186
213.062123,300.771864,223.044215,318.730468,236.555376,322.800933,219.814913,316.024654,212.809333,305.425121,236.237702,344.270698,210.262356,342.294186
211.562123,300.271864,228.479331,317.865817,241.490492,322.459770,224.979331,315.524654,217.562123,304.766284,240.990492,343.429535,215.038635,341.611861
