StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
3.550426e+06	-0.000000e+00	3.519411e+06	3.101535e+04	-5.050713e+05	5.854360e+06	-6.336115e+06	-2.331690e+04	
3.491069e+06	-0.000000e+00	3.458275e+06	3.279445e+04	-5.251890e+05	6.058557e+06	-6.559091e+06	-2.465441e+04	
3.424748e+06	-0.000000e+00	3.390306e+06	3.444168e+04	-5.310985e+05	6.278867e+06	-6.784072e+06	-2.589277e+04	
3.345988e+06	-0.000000e+00	3.309977e+06	3.601107e+04	-5.193131e+05	6.520416e+06	-7.012657e+06	-2.707261e+04	
3.255371e+06	-0.000000e+00	3.217837e+06	3.753378e+04	-4.917325e+05	6.777415e+06	-7.240930e+06	-2.821737e+04	
3.156225e+06	-0.000000e+00	3.117196e+06	3.902889e+04	-2.477240e+05	7.244946e+06	-7.463329e+06	-2.934137e+04	
3.053796e+06	-0.000000e+00	3.013285e+06	4.051128e+04	-1.767633e+05	7.528210e+06	-7.674517e+06	-3.045581e+04	
2.953411e+06	-0.000000e+00	2.911362e+06	4.204904e+04	-1.002125e+05	7.800708e+06	-7.869309e+06	-3.161188e+04	
2.857564e+06	-0.000000e+00	2.813769e+06	4.379503e+04	-1.930141e+04	8.057707e+06	-8.044084e+06	-3.292449e+04	
2.768184e+06	-0.000000e+00	2.722276e+06	4.590745e+04	6.704489e+04	8.298530e+06	-8.196973e+06	-3.451258e+04	
2.686549e+06	-0.000000e+00	2.637986e+06	4.856295e+04	8.490671e+05	9.212271e+06	-8.326695e+06	-3.650895e+04	
2.618054e+06	-0.000000e+00	2.566164e+06	5.188907e+04	1.065778e+06	9.535427e+06	-8.430640e+06	-3.900948e+04	
2.591550e+06	-0.000000e+00	2.535813e+06	5.573708e+04	1.289340e+06	9.832204e+06	-8.500961e+06	-4.190236e+04	
2.648958e+06	-0.000000e+00	2.589085e+06	5.987347e+04	1.517685e+06	1.008911e+07	-8.526409e+06	-4.501203e+04	
2.840167e+06	-0.000000e+00	2.776097e+06	6.407007e+04	1.745186e+06	1.028115e+07	-8.487796e+06	-4.816699e+04	
3.219529e+06	-0.000000e+00	3.151437e+06	6.809153e+04	1.960762e+06	1.036252e+07	-8.350572e+06	-5.119026e+04	
3.829760e+06	-0.000000e+00	3.758026e+06	7.173363e+04	2.142658e+06	1.025168e+07	-8.055091e+06	-5.392834e+04	
4.674456e+06	-0.000000e+00	4.599637e+06	7.481864e+04	2.250855e+06	9.818801e+06	-7.511698e+06	-5.624761e+04	
5.675814e+06	-0.000000e+00	5.598653e+06	7.716118e+04	2.231958e+06	8.923617e+06	-6.633651e+06	-5.800869e+04	
