"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
19	0.0716093814021124	0.000596504145093787	0.018328534474299	0.0051279035047932	3.5581719511407e-07	0.000335935175975567	0.0739201900563295	75.6432669948283	14.3567330051717	89.5227387970743	0.477261202925717	0.123848809066261	0.00103165711707677	0.0316992986411259	0.127845365023054
20	0.0740876551811638	0.000661671221869171	0.0180682169605385	0.00548898065024303	4.37808805849842e-07	0.000326460464133091	0.0762619100415271	76.2944571394164	13.7055428605836	89.48830934857	0.51169065143003	0.128134996854313	0.0011443639257509	0.0312490781053935	0.131895382292506
21	0.0767002464750701	0.000659476725412625	0.0177180039660599	0.0058829278093365	4.34909551360959e-07	0.000313927664541314	0.0787228707773616	76.9926550876401	13.0073449123599	89.5073770462328	0.492622953767153	0.132653487504445	0.00114056853236359	0.0306433828537874	0.136151627079491
22	0.0794191683558202	0.000589676533818321	0.017282411843748	0.00630740430233011	3.47718414535989e-07	0.000298681759136921	0.0812799715789909	77.7232573675424	12.2767426324576	89.5745944395072	0.425405560492834	0.137355877474611	0.00101984872676984	0.0298900239428364	0.140574146625719
23	0.0822158676571807	0.000452221103556548	0.0167620273625541	0.00675944889462305	2.04503926501902e-07	0.000280965561303012	0.0839083962416906	78.4765667320533	11.5234332679467	89.6848528139188	0.315147186081177	0.142192783910724	0.000782118823169402	0.0289900161925875	0.14512002117207
24	0.0850832118108108	0.000256934079441922	0.016157687874723	0.00723915293204329	6.60151211786679e-08	0.000261070877456971	0.0866042136655108	79.2473121031327	10.7526878968673	89.8269788680574	0.173021131942576	0.147151870997597	0.000444368867938295	0.0279448078082376	0.149782451860102
25	0.0880232387115751	1.53489101997527e-05	0.0154707435786967	0.00774809055327493	2.35589044320072e-10	0.000239343906877785	0.0893724493104098	80.031648544644	9.96835145535597	89.9900091410117	0.00999085898826024	0.152236663285325	2.6546022483142e-05	0.0267567339652312	0.154570130249757
26	0.091027009560197	-0.000271103002664609	0.0147039637997157	0.0082859164694722	7.3496838053767e-08	0.00021620655142335	0.092207356093392	80.8240415919663	9.17595840803365	90.1706417909888	-0.170641790988753	0.157431701072634	-0.000468874096618141	0.0254305842264194	0.159473116730183
27	0.0940862143814678	-0.000603437601130929	0.0138640909480691	0.00885221573663552	3.6413693845865e-07	0.000192213017816332	0.0951041160591397	81.6174941152004	8.38250588479961	90.3674709829586	-0.367470982958622	0.162722612212846	-0.0010436485664665	0.0239780196265463	0.164483078621826
28	0.0972115452231555	-0.000972326903250396	0.0129639528665269	0.00945008452467361	9.45419606784505e-07	0.000168064073925531	0.098076980062632	82.403958981723	7.59604101827696	90.5730633129157	-0.57306331291575	0.168127888659902	-0.0016816445922698	0.0224212259884588	0.169624662854777
