"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
460.181543607425	458.525365125978	362.50466449668	515.07005584313	386.77157504774	594.609622079588	366.280883659998	507.773596668099	398.016794944301	487.144401053932	386.991233220979	626.903261795508	337.954373073494	624.230106733415
460.199517694653	458.468000051667	363.463964143486	515.298267273639	387.837789269016	594.884303390074	366.61630452445	507.765725038073	397.883481063063	487.169854315799	388.161175130427	627.191675337741	339.123808575162	624.316531933724
460.219661923067	458.423128476886	364.456680466864	515.533619063209	388.981698096428	595.154279774057	366.967426640635	507.76485036537	397.768591876851	487.204930217695	389.390091728261	627.470703382925	340.41879247765	624.412385163369
460.239751848244	458.390633325607	365.483172738107	515.779430190942	390.210631234991	595.416532761759	367.33335919354	507.781579577675	397.675888127687	487.248856781919	390.680743808162	627.729866183121	341.831137753448	624.513077289785
460.256448242503	458.368999194993	366.542555229394	516.039000944185	391.531164749389	595.66869552655	367.712191018778	507.827284294092	397.606226798015	487.299652241427	392.039624711927	627.961488099531	343.342377197853	624.612481060634
460.266224117021	458.356635537883	367.634098944034	516.315395865206	392.949241593124	595.908327954151	368.102406679235	507.91297793594	397.560179411305	487.355316883551	393.473112066468	628.158417471594	344.933459487083	624.704619873179
460.264039413079	458.351629400239	368.758984828885	516.609369094871	394.464809140386	596.132076177702	368.506681776899	508.045927598405	397.536376613342	487.414034444637	394.985336793133	628.317816362027	346.582651858202	624.785454486619
460.243995269262	458.35188483324	369.919477894852	516.920363414292	396.074411737041	596.336067693903	368.930070703865	508.231274001015	397.532347427977	487.474092784781	396.579154606608	628.439295257919	348.266699591356	624.852045286597
460.200263235354	458.355423251788	371.117394376624	517.246991910623	397.773578998174	596.516264591984	369.378319354209	508.472619191721	397.54566115834	487.533784613811	398.256412154917	628.522991964895	349.964216787783	624.901864525408
460.12751022082	458.361003319075	372.351704190726	517.58284027089	399.551819380138	596.667644919079	369.861272589559	508.764220237176	397.574213713786	487.591425195314	400.012819163003	628.572125099098	351.665458401666	624.934848317047
460.020591914358	458.367664660136	373.620292535285	517.919578263686	401.396346704149	596.784811708532	370.390337368703	509.096772875821	397.616025471757	487.645338388011	401.841746603428	628.591087359001	353.365115661225	624.951871741556
459.875338934937	458.374656267766	374.919570138639	518.248713030808	403.294094895631	596.863269485241	370.976320262243	509.459716879472	397.669147690645	487.693864070974	403.735160680657	628.584385104926	355.059739143929	624.954104000692
459.691480136157	458.382062393507	376.240058391062	518.561116292827	405.230896364821	596.902131693198	371.627613988058	509.837496195378	397.731754172588	487.735406137003	405.679426942131	628.556970099872	356.753281892942	624.94388338965
459.46972187073	458.390176257266	377.570808676494	518.847507028153	407.19231161288	596.901417869231	372.351999853144	510.213311901896	397.802049213652	487.76838669656	407.65951173034	628.513904745967	358.45154497185	624.923841161723
459.212264241731	458.399369148036	378.90205509545	519.101709691797	409.165663759413	596.863109988665	373.153221732361	510.573457396627	397.878164972029	487.792352690084	409.660868713421	628.459889985202	360.159010674316	624.896956418487
458.925226976711	458.410217209325	380.227135215358	519.325697558279	411.142901062568	596.794339496321	374.024429215063	510.91234037158	397.958044314986	487.809802629572	411.670230309691	628.398678282463	361.87670082096	624.867121020884
458.615368046826	458.42332629563	381.539919376676	519.522803824417	413.116753201108	596.703093372768	374.957020132115	511.225731561821	398.039609484842	487.823723674261	413.674575291889	628.333875427872	363.605053274989	624.838381698654
458.289716003583	458.438998740901	382.83688170875	519.699801680755	415.082734438847	596.599198075338	375.939338142087	511.513601010087	398.121658142848	487.838006737864	415.664292948906	628.269698562908	365.342482805112	624.815391990044
