"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
10	0.015214706478355	-0.00416342462250833	0.00933945480802889	0.000231487293222498	1.73341045873086e-05	8.7225416111214e-05	0.0183315796897327	58.456570533943	31.543429466057	105.304035832313	-15.304035832313	0.0621008427687959	-0.0169935698877891	0.0381202237062404	0.0748227742438069
11	0.017104899916884	-0.0052500126513243	0.0112377043371428	0.000292577601166618	2.75626328390652e-05	0.000126285998769038	0.0211288010254894	56.6955888918277	33.3044111081723	107.062838392376	-17.0628383923757	0.0698159180280979	-0.0214286230666298	0.0458681809679298	0.086240004185671
12	0.0190824134237129	-0.00643638263703837	0.0131994247011678	0.000364138502073498	4.1427021450369e-05	0.000174224812441799	0.0240788358515454	55.3281479138605	34.6718520861395	108.638939640572	-18.6389396405719	0.0778874017294404	-0.0262709495389321	0.0538752028619094	0.0982809626593688
13	0.0211569366452855	-0.00769027800373792	0.0151877439481521	0.000447615968212624	5.91403757747753e-05	0.000230667566234631	0.0271555502654988	54.3269007375922	35.6730992624078	109.975563440844	-19.9755634408441	0.0863548434501449	-0.0313888898111752	0.0619907916251106	0.110838980675505
14	0.023319757189418	-0.00899662977288367	0.0171743973476926	0.000543811075373412	8.09393472703369e-05	0.000294959924256431	0.0303267266103709	53.6293159309456	36.3706840690544	111.096330948164	-21.0963309481644	0.0951826824057877	-0.0367209378485048	0.0700995810109902	0.123782557593351
15	0.0255475330760577	-0.0103508329628127	0.0191362805207791	0.000652676446272262	0.00010713974302405	0.00036619723216995	0.0335561234570721	53.1650964909036	36.8349035090964	112.055811895134	-22.0558118951337	0.104275645208399	-0.0422482978073988	0.0781072674317514	0.136963769212539
16	0.027840239858155	-0.0117197888763131	0.0210470842213201	0.000775078955359602	0.000137353451305352	0.000442979754219341	0.0368159226542579	52.9108990148326	37.0891009851674	112.829428209004	-22.8294282090035	0.113633632074102	-0.0478358729645433	0.0859064662094698	0.150269072058195
17	0.0301809769528738	-0.0130807652617414	0.0228945519599538	0.000910891369829899	0.000171106419832781	0.000524160509447024	0.0400769048094997	52.8169342325077	37.1830657674923	113.432435750495	-23.4324357504946	0.123187661032138	-0.0533908786193526	0.0934471508569543	0.163579203304081
18	0.0325274315383119	-0.0144300311444909	0.0246764493925891	0.00105803380247957	0.000208225798830977	0.000608927154625011	0.0433034266073201	52.8147716027988	37.1852283972012	113.923343393611	-23.9233433936115	0.132765026686987	-0.0588980863040445	0.100720201602404	0.176748680029878
19	0.0348556928560681	-0.0157443461744946	0.0263845169804238	0.00121491932447656	0.000247884436462323	0.000696142736290272	0.0464644648869343	52.8755769538507	37.1244230461493	114.308734600288	-24.3087346002879	0.1422681341064	-0.0642626374469167	0.107691906042546	0.189650877089528
20	0.0371319582063702	-0.0170065972646827	0.0280107239486748	0.00137878232023962	0.000289224350523113	0.000784600656128864	0.0495238056584063	52.9706962386495	37.0293037613505	114.607984332882	-24.6079843328822	0.151559013087225	-0.0694146827129906	0.114329485504795	0.20213798227921
21	0.0393071467573052	-0.0182197904915477	0.0295532995289706	0.00154505178620033	0.000331960765555892	0.000873397513049054	0.0524443520772759	53.0621183442002	36.9378816557998	114.868836292368	-24.8688362923683	0.160437333703286	-0.0743664918022355	0.120625712363145	0.214058579907249
22	0.0413723389389258	-0.0193666617065653	0.0310050737828236	0.00171167042927736	0.000375067585656543	0.000961314600278335	0.055209171477321	53.1515400562232	36.8484599437768	115.084600516575	-25.0846005165745	0.168866689546636	-0.0790475988023073	0.126551321562545	0.22534355705029
23	0.0433194727079028	-0.0204360510164383	0.0323567072012627	0.00187657671569074	0.000417632181146469	0.00104695650090825	0.0578028147908512	53.24276375257	36.75723624743	115.255692278214	-25.255692278214	0.176814174317971	-0.0834124531283196	0.132068192658215	0.235929856289189
24	0.0451049572680517	-0.0214359372820998	0.03360028232363	0.00203445717015277	0.000459499407162116	0.00112897897222764	0.0601908261244397	53.3162672047066	36.6837327952934	115.419203353638	-25.4192033536381	0.184101866400211	-0.087493621559591	0.137144009484204	0.245676841324244
25	0.0467118259207908	-0.0223442540047333	0.0347306488950698	0.00218199468085426	0.00049926568702804	0.00120621797267261	0.0623496458735326	53.3688764291064	36.6311235708936	115.563773883788	-25.563773883788	0.190660513962411	-0.0912010367540135	0.141757750592122	0.254488350504215
26	0.0481475542695102	-0.0231366125390928	0.0357464118684398	0.00231818698213543	0.000535302839784106	0.00127780596146813	0.064275156813404	53.4085278774317	36.5914721225683	115.665940489854	-25.6659404898542	0.19652062967147	-0.0944351532207869	0.145903721911999	0.26234757883022
